# Values shown are for the Center of each Element:
# Index  name      key                      s       l         s         l     angle           b          b1           x           z       theta       eta      etap        beta       alpha        beta       alpha
#                                                                                         field    gradient    position    position    position         x         x           a           a           b           b
      0  BEGINNING Beginning_Ele        0.000   0.000  0.000000  0.000000  0.000000    0.000000    0.000000    0.000000    0.000000    0.008000  0.000000  0.000000    0.420000    0.000000    0.050000    0.000000
      1  D0ER      Drift                2.650   5.300  2.650000  5.300000  0.000000    0.000000    0.000000    0.021200    2.649915    0.008000  0.000000  0.000000   17.140238   -6.309524  140.500000  -53.000000
      2  Q1ER      Quadrupole           6.200   1.800  6.200000  1.800000  0.000000    0.000000   13.428092    0.049599    6.199802    0.008000  0.000000  0.000000  107.853459  -35.127821  649.891126   14.156151
      3  D1ER      Drift                7.350   0.500  7.350000  0.500000  0.000000    0.000000    0.000000    0.058799    7.349765    0.008000  0.000000  0.000000  254.067085  -93.216624  456.373125  117.141664
      4  Q2ER      Quadrupole           8.300   1.400  8.300000  1.400000  0.000000    0.000000  -12.850280    0.066399    8.299734    0.008000  0.000000  0.000000  421.054924  -61.202353  293.908239   46.726384
      5  D2ER      Drift                9.250   0.500  9.250000  0.500000  0.000000    0.000000    0.000000    0.073999    9.249704    0.008000  0.000000  0.000000  460.374277    4.141764  257.448947    4.107155
      6  B2ER      Sbend               12.250   5.500 12.250039  5.500077 -0.018332    0.200125   -0.000000    0.110602   12.249507    0.017166 -0.012604 -0.009166  435.916150    4.023468  233.389350    3.906047
      7  D3ER      Drift               26.350  22.700 26.350077 22.700000  0.000000    0.000000    0.000000    0.469246   26.344951    0.026332 -0.258491 -0.018333  330.258328    3.467459  136.969033    2.927793
      8  Q3ER      Quadrupole          38.000   0.600 38.000077  0.600000  0.000000    0.000000   -3.901304    0.775982   37.990912    0.026332 -0.470700 -0.009193  253.327805    7.955809   78.697211    0.582619
      9  DQCRAB    Drift               38.450   0.300 38.450077  0.300000  0.000000    0.000000    0.000000    0.787830   38.440756    0.026332 -0.472080  0.000000  243.320146   12.607391   79.096183   -0.959356
     10  DECRAB    Drift               40.600   4.000 40.600077  4.000000  0.000000    0.000000    0.000000    0.844438   40.590011    0.026332 -0.472080  0.000000  192.146963   11.194090   83.333642   -1.011555
     11  D4ER      Drift               48.400  11.600 48.400077 11.600000  0.000000    0.000000    0.000000    1.049807   48.387307    0.026332 -0.472080  0.000000   57.512284    6.066766  100.591029   -1.200930
     12  Q4ER      Quadrupole          54.500   0.600 54.500077  0.600000  0.000000    0.000000    8.137357    1.210416   54.485192    0.026332 -0.474962 -0.019233    8.060215    1.731343  114.738112    3.335095
     13  D5ER      Drift               58.852   8.104 58.852168  8.104182  0.000000    0.000000    0.000000    1.325003   58.835774    0.026332 -0.640463 -0.038701    2.807134   -0.220004   56.984405    5.571466
