@ DATE             %08s "22/07/19"
@ NAME             %06s "SURVEY"
@ ORIGIN           %16s "5.04.00 Linux 64"
@ TIME             %08s "09.56.58"
@ TITLE            %36s "18GeV eRHIC -- Electron Storage Ring"
@ TYPE             %06s "SURVEY"
* NAME                                    S                      L                  ANGLE                      X                      Y                      Z                  THETA
$ %s                                    %le                    %le                    %le                    %le                    %le                    %le                    %le
  "Q4EF"                             -29.95                    1.2                      0           -1.049597444                      0           -29.94904161           -6.275185307
  "MCRAB"                            -29.35                      0                      0           -1.044797495                      0           -29.34906081           -6.275185307
  "MCRAB"                            -21.42                      0                      0          -0.9813581722                      0           -21.41931456           -6.275185307
  "Q3EF"                             -20.82                    1.2                      0          -0.9765582234                      0           -20.81933376           -6.275185307
  "Q2EF"                             -14.17                    3.8                      0          -0.9233587908                      0           -14.16954656           -6.275185307
  "Q1EF"                            -11.065                   1.61                      0          -0.8985190558                      0           -11.06464592           -6.275185307
  "Q0EF"                               -5.9                    1.2                      0          -0.8571994965                      0           -5.899811201           -6.275185307
  "IP6"                                   0                      0                      0                  -0.81                      0                      0                  0.008
  "Q1ER"                                6.2                    1.8                      0          -0.7604005291                      0            6.199801601                  0.008
  "Q2ER"                                8.3                    1.4                      0          -0.7436007083                      0            8.299734401                  0.008
  "DB2ER"                       12.25003846             5.50007692         -0.01832065022          -0.6994059133                      0            12.24950724          0.01716032511
  "Q3ER"                        31.60007692                    0.6                      0          -0.2027513076                      0             31.5931365          0.02632065022
  "DB3ER"                       34.80011328            5.200072724          0.01832065022          -0.1304393327                      0            34.79234152          0.01716032511
  "Q4ER"                        38.00014964                    0.6                      0         -0.09293148096                      0            37.99214385                  0.008
  "MCRAB"                       38.30014964                      0                      0         -0.09053150656                      0            38.29213425                  0.008
  "MCRAB"                       46.23014964                      0                      0         -0.02709218325                      0             46.2218805                  0.008
  "Q5ER"                        46.83014964                    1.2                      0         -0.02229223445                      0             46.8218613                  0.008
